Age,Attrition,BusinessTravel,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,OverTime,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,YearsAtCompany
41,Yes,Travel_Rarely,some_college,Life Sciences,meduim,high,two,Sales Executive,very_high,5993,Yes,low,zero,bad,6
49,No,Travel_Frequently,no_college,Life Sciences,high,meduim,two,Research Scientist,meduim,5130,No,very_high,one,better,10
37,Yes,Travel_Rarely,some_college,Other,very_high,meduim,one,Laboratory Technician,high,2090,Yes,meduim,zero,better,0
33,No,Travel_Frequently,masters_degree,Life Sciences,very_high,high,one,Research Scientist,high,2909,Yes,high,zero,better,8
27,No,Travel_Rarely,no_college,Medical,low,high,one,Laboratory Technician,meduim,3468,No,very_high,one,better,2
32,No,Travel_Frequently,some_college,Life Sciences,very_high,high,one,Laboratory Technician,very_high,3068,No,high,zero,good,7
59,No,Travel_Rarely,bachelors_degree,Medical,high,very_high,one,Laboratory Technician,low,2670,Yes,low,three,good,1
30,No,Travel_Rarely,no_college,Life Sciences,very_high,high,one,Laboratory Technician,high,2693,No,meduim,one,better,1
38,No,Travel_Frequently,bachelors_degree,Life Sciences,very_high,meduim,three,Manufacturing Director,high,9526,No,meduim,zero,better,9
36,No,Travel_Rarely,bachelors_degree,Medical,high,high,two,Healthcare Representative,high,5237,No,meduim,two,good,7
35,No,Travel_Rarely,bachelors_degree,Medical,low,very_high,one,Laboratory Technician,meduim,2426,No,high,one,better,5
29,No,Travel_Rarely,some_college,Life Sciences,very_high,meduim,two,Laboratory Technician,high,4193,Yes,very_high,zero,better,9
31,No,Travel_Rarely,no_college,Life Sciences,low,high,one,Research Scientist,high,2911,No,very_high,one,good,5
34,No,Travel_Rarely,some_college,Medical,meduim,high,one,Laboratory Technician,very_high,2661,No,high,one,better,2
28,Yes,Travel_Rarely,bachelors_degree,Life Sciences,high,meduim,one,Laboratory Technician,high,2028,Yes,meduim,zero,better,4
29,No,Travel_Rarely,masters_degree,Life Sciences,meduim,very_high,three,Manufacturing Director,low,9980,No,high,one,better,10
32,No,Travel_Rarely,some_college,Life Sciences,low,very_high,one,Research Scientist,meduim,3298,Yes,very_high,two,good,6
22,No,Non-Travel,some_college,Medical,very_high,very_high,one,Laboratory Technician,very_high,2935,Yes,meduim,two,good,1
53,No,Travel_Rarely,masters_degree,Life Sciences,low,meduim,four,Manager,very_high,15427,No,high,zero,better,25
38,No,Travel_Rarely,bachelors_degree,Life Sciences,very_high,high,one,Research Scientist,very_high,3944,Yes,high,zero,better,3
24,No,Non-Travel,some_college,Other,low,very_high,two,Manufacturing Director,high,4011,No,very_high,one,good,4
36,Yes,Travel_Rarely,masters_degree,Life Sciences,high,meduim,one,Sales Representative,low,3407,No,meduim,zero,better,5
34,No,Travel_Rarely,masters_degree,Life Sciences,low,high,three,Research Director,meduim,11994,No,high,zero,better,12
21,No,Travel_Rarely,some_college,Life Sciences,high,high,one,Research Scientist,very_high,1232,No,very_high,zero,better,0
34,Yes,Travel_Rarely,no_college,Medical,meduim,high,one,Research Scientist,low,2960,No,high,zero,better,4
53,No,Travel_Rarely,bachelors_degree,Other,high,high,five,Manager,high,19094,No,very_high,one,good,14
32,Yes,Travel_Frequently,no_college,Life Sciences,meduim,low,one,Research Scientist,low,3919,Yes,meduim,zero,better,10
42,No,Travel_Rarely,masters_degree,Marketing,high,high,two,Sales Executive,meduim,6825,No,very_high,one,better,9
44,No,Travel_Rarely,masters_degree,Medical,low,meduim,three,Healthcare Representative,very_high,10248,No,very_high,one,better,22
46,No,Travel_Rarely,masters_degree,Marketing,meduim,high,five,Manager,low,18947,No,very_high,zero,good,2
33,No,Travel_Rarely,bachelors_degree,Medical,high,high,one,Laboratory Technician,very_high,2496,No,very_high,zero,better,1
44,No,Travel_Rarely,masters_degree,Other,very_high,high,two,Healthcare Representative,very_high,6465,Yes,very_high,zero,best,4
30,No,Travel_Rarely,some_college,Medical,very_high,meduim,one,Laboratory Technician,high,2206,No,low,zero,better,10
39,Yes,Travel_Rarely,bachelors_degree,Technical Degree,very_high,high,two,Sales Representative,very_high,2086,No,high,one,best,1
24,Yes,Travel_Rarely,bachelors_degree,Medical,meduim,high,one,Research Scientist,very_high,2293,Yes,low,one,good,2
43,No,Travel_Rarely,some_college,Medical,very_high,very_high,one,Research Scientist,high,2645,No,very_high,two,good,5
50,Yes,Travel_Rarely,some_college,Marketing,low,meduim,one,Sales Representative,high,2683,Yes,high,zero,better,3
35,No,Travel_Rarely,bachelors_degree,Marketing,very_high,high,one,Sales Representative,very_high,2014,No,low,zero,better,2
36,No,Travel_Rarely,masters_degree,Life Sciences,meduim,meduim,one,Research Scientist,low,3419,Yes,very_high,one,best,1
33,No,Travel_Frequently,bachelors_degree,Life Sciences,high,very_high,two,Sales Executive,low,5376,No,low,two,better,5
35,No,Travel_Rarely,some_college,Other,high,high,one,Laboratory Technician,very_high,1951,No,high,one,better,1
27,No,Travel_Rarely,masters_degree,Life Sciences,very_high,high,one,Laboratory Technician,low,2341,No,very_high,one,better,1
26,Yes,Travel_Rarely,bachelors_degree,Life Sciences,low,low,one,Laboratory Technician,high,2293,No,high,zero,good,1
27,No,Travel_Frequently,bachelors_degree,Life Sciences,very_high,high,three,Sales Executive,high,8726,No,very_high,zero,better,9
30,No,Travel_Frequently,some_college,Medical,high,high,two,Laboratory Technician,very_high,4011,No,very_high,zero,better,12
41,Yes,Travel_Rarely,bachelors_degree,Technical Degree,meduim,high,five,Research Director,high,19545,No,very_high,zero,better,22
34,No,Non-Travel,masters_degree,Marketing,meduim,high,two,Sales Executive,high,4568,No,high,zero,better,9
37,No,Travel_Rarely,some_college,Life Sciences,meduim,high,one,Research Scientist,meduim,3022,No,low,zero,better,1
46,No,Travel_Frequently,masters_degree,Marketing,low,high,two,Sales Executive,very_high,5772,Yes,high,zero,better,9
35,No,Travel_Rarely,no_college,Life Sciences,very_high,very_high,one,Laboratory Technician,very_high,2269,No,very_high,zero,better,1
48,Yes,Travel_Rarely,some_college,Life Sciences,low,meduim,three,Laboratory Technician,high,5381,Yes,very_high,zero,better,1
28,Yes,Travel_Rarely,masters_degree,Technical Degree,high,high,one,Laboratory Technician,high,3441,Yes,high,zero,good,2
44,No,Travel_Rarely,Doctorate,Marketing,meduim,high,two,Sales Executive,low,5454,Yes,high,one,good,4
35,No,Non-Travel,some_college,Medical,high,meduim,three,Healthcare Representative,low,9884,Yes,high,one,better,4
26,No,Travel_Rarely,bachelors_degree,Marketing,high,meduim,two,Sales Executive,very_high,4157,Yes,high,one,good,2
33,No,Travel_Frequently,some_college,Life Sciences,low,high,three,Research Director,very_high,13458,Yes,high,zero,better,15
35,No,Travel_Frequently,Doctorate,Life Sciences,meduim,high,three,Sales Executive,low,9069,No,very_high,one,good,9
35,No,Travel_Rarely,masters_degree,Medical,high,high,one,Laboratory Technician,low,4014,Yes,high,one,better,2
31,No,Travel_Rarely,masters_degree,Life Sciences,very_high,high,two,Laboratory Technician,very_high,5915,No,very_high,one,good,7
37,No,Travel_Rarely,masters_degree,Life Sciences,low,meduim,two,Manufacturing Director,high,5993,No,high,one,best,7
32,No,Travel_Rarely,bachelors_degree,Medical,low,high,two,Manufacturing Director,very_high,6162,Yes,meduim,one,better,9
38,No,Travel_Frequently,Doctorate,Life Sciences,very_high,high,two,Laboratory Technician,very_high,2406,No,very_high,zero,better,10
50,No,Travel_Rarely,some_college,Medical,meduim,meduim,five,Research Director,high,18740,Yes,very_high,one,good,27
59,No,Travel_Rarely,bachelors_degree,Life Sciences,low,high,three,Sales Executive,low,7637,No,very_high,zero,good,21
36,No,Travel_Rarely,bachelors_degree,Technical Degree,high,high,three,Healthcare Representative,high,10096,No,meduim,three,better,17
55,No,Travel_Rarely,bachelors_degree,Medical,very_high,high,four,Manager,high,14756,Yes,high,three,better,5
36,No,Travel_Frequently,bachelors_degree,Life Sciences,meduim,meduim,two,Manufacturing Director,meduim,6499,No,high,zero,better,6
45,No,Travel_Rarely,bachelors_degree,Life Sciences,meduim,high,three,Research Scientist,low,9724,No,high,one,better,1
35,No,Travel_Frequently,bachelors_degree,Medical,meduim,high,one,Research Scientist,low,2194,No,very_high,one,good,3
36,Yes,Travel_Rarely,bachelors_degree,Medical,very_high,meduim,one,Research Scientist,high,3388,Yes,low,one,good,1
59,No,Travel_Frequently,no_college,Life Sciences,low,meduim,two,Sales Executive,high,5473,No,very_high,zero,good,4
29,No,Travel_Rarely,bachelors_degree,Life Sciences,high,high,one,Research Scientist,meduim,2703,No,very_high,one,better,5
31,No,Travel_Rarely,masters_degree,Medical,high,high,one,Research Scientist,meduim,2501,No,meduim,zero,better,1
32,No,Travel_Rarely,bachelors_degree,Life Sciences,meduim,high,two,Research Scientist,meduim,6220,No,meduim,two,better,10
36,No,Travel_Rarely,bachelors_degree,Life Sciences,meduim,very_high,one,Laboratory Technician,very_high,3038,No,meduim,zero,better,1
31,No,Travel_Rarely,masters_degree,Life Sciences,high,high,two,Manufacturing Director,very_high,4424,No,very_high,zero,better,11
35,No,Travel_Rarely,masters_degree,Marketing,high,meduim,two,Sales Executive,low,4312,No,meduim,zero,better,15
45,No,Travel_Rarely,masters_degree,Other,very_high,high,three,Research Director,low,13245,Yes,meduim,zero,best,0
37,No,Travel_Rarely,masters_degree,Medical,low,high,three,Research Director,high,13664,No,low,zero,best,5
46,No,Travel_Rarely,some_college,Medical,meduim,high,two,Human Resources,meduim,5021,Yes,very_high,one,better,4
30,No,Travel_Rarely,no_college,Life Sciences,very_high,meduim,two,Laboratory Technician,very_high,5126,Yes,high,two,good,10
35,No,Travel_Rarely,bachelors_degree,Medical,meduim,meduim,one,Research Scientist,high,2859,No,low,zero,better,6
55,No,Travel_Rarely,some_college,Life Sciences,low,high,three,Sales Executive,very_high,10239,No,very_high,one,better,1
38,No,Non-Travel,bachelors_degree,Medical,meduim,low,two,Research Scientist,very_high,5329,Yes,very_high,three,better,13
34,No,Travel_Rarely,some_college,Medical,low,high,two,Manufacturing Director,meduim,4325,No,high,zero,better,5
56,No,Travel_Rarely,bachelors_degree,Life Sciences,very_high,low,three,Manufacturing Director,very_high,7260,No,low,zero,good,6
23,No,Travel_Rarely,no_college,Technical Degree,high,high,one,Sales Representative,low,2322,No,high,one,better,0
51,No,Travel_Rarely,masters_degree,Life Sciences,very_high,high,one,Laboratory Technician,very_high,2075,No,meduim,two,better,4
30,No,Travel_Rarely,bachelors_degree,Life Sciences,high,meduim,two,Healthcare Representative,very_high,4152,No,low,three,better,11
46,Yes,Travel_Rarely,some_college,Medical,high,meduim,three,Sales Executive,very_high,9619,No,very_high,zero,better,9
40,No,Travel_Frequently,masters_degree,Life Sciences,high,meduim,four,Healthcare Representative,meduim,13503,No,very_high,one,good,22
51,No,Travel_Rarely,masters_degree,Marketing,high,high,two,Sales Executive,very_high,5441,Yes,very_high,zero,bad,10
30,No,Travel_Rarely,some_college,Medical,high,meduim,two,Sales Executive,meduim,5209,Yes,meduim,three,good,11
46,No,Travel_Frequently,bachelors_degree,Medical,high,meduim,three,Healthcare Representative,low,10673,Yes,high,one,good,10
32,No,Travel_Rarely,masters_degree,Medical,meduim,high,two,Sales Executive,high,5010,No,low,zero,better,11
54,No,Travel_Rarely,masters_degree,Technical Degree,low,high,three,Research Director,high,13549,No,low,one,bad,4
24,No,Travel_Rarely,some_college,Other,low,high,two,Sales Executive,high,4999,No,low,one,good,3
