Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sales,1,some_college,Life Sciences,meduim,Female,94,high,two,Sales Executive,very_high,Single,5993,19479,8,Yes,11,Excellent,low,zero,8,0,bad,6,4,0,5
49,No,Travel_Frequently,279,Research & Development,8,no_college,Life Sciences,high,Male,61,meduim,two,Research Scientist,meduim,Married,5130,24907,1,No,23,Outstanding,very_high,one,10,3,better,10,7,1,7
37,Yes,Travel_Rarely,1373,Research & Development,2,some_college,Other,very_high,Male,92,meduim,one,Laboratory Technician,high,Single,2090,2396,6,Yes,15,Excellent,meduim,zero,7,3,better,0,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3,masters_degree,Life Sciences,very_high,Female,56,high,one,Research Scientist,high,Married,2909,23159,1,Yes,11,Excellent,high,zero,8,3,better,8,7,3,0
27,No,Travel_Rarely,591,Research & Development,2,no_college,Medical,low,Male,40,high,one,Laboratory Technician,meduim,Married,3468,16632,9,No,12,Excellent,very_high,one,6,3,better,2,2,2,2
32,No,Travel_Frequently,1005,Research & Development,2,some_college,Life Sciences,very_high,Male,79,high,one,Laboratory Technician,very_high,Single,3068,11864,0,No,13,Excellent,high,zero,8,2,good,7,7,3,6
59,No,Travel_Rarely,1324,Research & Development,3,bachelors_degree,Medical,high,Female,81,very_high,one,Laboratory Technician,low,Married,2670,9964,4,Yes,20,Outstanding,low,three,12,3,good,1,0,0,0
30,No,Travel_Rarely,1358,Research & Development,24,no_college,Life Sciences,very_high,Male,67,high,one,Laboratory Technician,high,Divorced,2693,13335,1,No,22,Outstanding,meduim,one,1,2,better,1,0,0,0
38,No,Travel_Frequently,216,Research & Development,23,bachelors_degree,Life Sciences,very_high,Male,44,meduim,three,Manufacturing Director,high,Single,9526,8787,0,No,21,Outstanding,meduim,zero,10,2,better,9,7,1,8
36,No,Travel_Rarely,1299,Research & Development,27,bachelors_degree,Medical,high,Male,94,high,two,Healthcare Representative,high,Married,5237,16577,6,No,13,Excellent,meduim,two,17,3,good,7,7,7,7
35,No,Travel_Rarely,809,Research & Development,16,bachelors_degree,Medical,low,Male,84,very_high,one,Laboratory Technician,meduim,Married,2426,16479,0,No,13,Excellent,high,one,6,5,better,5,4,0,3
29,No,Travel_Rarely,153,Research & Development,15,some_college,Life Sciences,very_high,Female,49,meduim,two,Laboratory Technician,high,Single,4193,12682,0,Yes,12,Excellent,very_high,zero,10,3,better,9,5,0,8
31,No,Travel_Rarely,670,Research & Development,26,no_college,Life Sciences,low,Male,31,high,one,Research Scientist,high,Divorced,2911,15170,1,No,17,Excellent,very_high,one,5,1,good,5,2,4,3
34,No,Travel_Rarely,1346,Research & Development,19,some_college,Medical,meduim,Male,93,high,one,Laboratory Technician,very_high,Divorced,2661,8758,0,No,11,Excellent,high,one,3,2,better,2,2,1,2
28,Yes,Travel_Rarely,103,Research & Development,24,bachelors_degree,Life Sciences,high,Male,50,meduim,one,Laboratory Technician,high,Single,2028,12947,5,Yes,14,Excellent,meduim,zero,6,4,better,4,2,0,3
29,No,Travel_Rarely,1389,Research & Development,21,masters_degree,Life Sciences,meduim,Female,51,very_high,three,Manufacturing Director,low,Divorced,9980,10195,1,No,11,Excellent,high,one,10,1,better,10,9,8,8
32,No,Travel_Rarely,334,Research & Development,5,some_college,Life Sciences,low,Male,80,very_high,one,Research Scientist,meduim,Divorced,3298,15053,0,Yes,12,Excellent,very_high,two,7,5,good,6,2,0,5
22,No,Non-Travel,1123,Research & Development,16,some_college,Medical,very_high,Male,96,very_high,one,Laboratory Technician,very_high,Divorced,2935,7324,1,Yes,13,Excellent,meduim,two,1,2,good,1,0,0,0
53,No,Travel_Rarely,1219,Sales,2,masters_degree,Life Sciences,low,Female,78,meduim,four,Manager,very_high,Married,15427,22021,2,No,16,Excellent,high,zero,31,3,better,25,8,3,7
38,No,Travel_Rarely,371,Research & Development,2,bachelors_degree,Life Sciences,very_high,Male,45,high,one,Research Scientist,very_high,Single,3944,4306,5,Yes,11,Excellent,high,zero,6,3,better,3,2,1,2
24,No,Non-Travel,673,Research & Development,11,some_college,Other,low,Female,96,very_high,two,Manufacturing Director,high,Divorced,4011,8232,0,No,18,Excellent,very_high,one,5,5,good,4,2,1,3
