Age,Attrition,BusinessTravel,Department,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,some_college,Life Sciences,meduim,high,two,Sales Executive,very_high,Single,5993,Yes,low,zero,8,bad,6,4,5
49,No,Travel_Frequently,Research & Development,no_college,Life Sciences,high,meduim,two,Research Scientist,meduim,Married,5130,No,very_high,one,10,better,10,7,7
37,Yes,Travel_Rarely,Research & Development,some_college,Other,very_high,meduim,one,Laboratory Technician,high,Single,2090,Yes,meduim,zero,7,better,0,0,0
33,No,Travel_Frequently,Research & Development,masters_degree,Life Sciences,very_high,high,one,Research Scientist,high,Married,2909,Yes,high,zero,8,better,8,7,0
27,No,Travel_Rarely,Research & Development,no_college,Medical,low,high,one,Laboratory Technician,meduim,Married,3468,No,very_high,one,6,better,2,2,2
32,No,Travel_Frequently,Research & Development,some_college,Life Sciences,very_high,high,one,Laboratory Technician,very_high,Single,3068,No,high,zero,8,good,7,7,6
59,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,high,very_high,one,Laboratory Technician,low,Married,2670,Yes,low,three,12,good,1,0,0
30,No,Travel_Rarely,Research & Development,no_college,Life Sciences,very_high,high,one,Laboratory Technician,high,Divorced,2693,No,meduim,one,1,better,1,0,0
38,No,Travel_Frequently,Research & Development,bachelors_degree,Life Sciences,very_high,meduim,three,Manufacturing Director,high,Single,9526,No,meduim,zero,10,better,9,7,8
36,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,high,high,two,Healthcare Representative,high,Married,5237,No,meduim,two,17,good,7,7,7
35,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,low,very_high,one,Laboratory Technician,meduim,Married,2426,No,high,one,6,better,5,4,3
29,No,Travel_Rarely,Research & Development,some_college,Life Sciences,very_high,meduim,two,Laboratory Technician,high,Single,4193,Yes,very_high,zero,10,better,9,5,8
31,No,Travel_Rarely,Research & Development,no_college,Life Sciences,low,high,one,Research Scientist,high,Divorced,2911,No,very_high,one,5,good,5,2,3
34,No,Travel_Rarely,Research & Development,some_college,Medical,meduim,high,one,Laboratory Technician,very_high,Divorced,2661,No,high,one,3,better,2,2,2
